,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
statuses_per_day,0.015439097958807269,0.02116889934154509,0.017784788336864876,0.018843106201504017,0.21157852264072333,0.13047861250390497,0.2106556745254852,0.21422071238530896,0.03217385133805098,0.03255640838923949,0.008326143504339273,0.02725060242441402,0.053104296620618385,0.052808811935829855,0.055008517013930024,0.03493004297644063
log1p_statuses,0.006466587810898353,0.007730721082786123,0.00724125869016834,0.007576789210207683,0.14525855724844383,0.11875015587221155,0.15110018312937912,0.16336648063296527,0.03310384145525567,0.03329836589524247,0.008636131166481624,0.02821033010415582,0.07827657274998057,0.07866105912592773,0.07686012825565748,0.04888709235581721
log1p_followers,0.0069077262361851195,0.01248608878718563,0.009855518119800894,0.009150494579944471,0.06588497835941627,0.046948134315643514,0.06697849652801574,0.06822415853340144,0.08759816022994175,0.09083520773414132,0.04704596400000088,0.06826538559725426,0.10129263272206758,0.10228848262479816,0.10243613185082041,0.0660378459380612
ff_ratio,0.014784425413219556,0.025725859784921378,0.02972075881145074,0.02080359739654516,0.07939998648400427,0.05765784835638259,0.07434107427406661,0.06378666896674534,0.10289063290109572,0.09251016379020915,0.05194823075062267,0.08029077326882367,0.044889996006784096,0.044300086766641864,0.044212905338984775,0.030862320474189128
followers_per_day,0.009608549899365241,0.014290753747158816,0.0169828448634778,0.01799344812018276,0.07219262290254341,0.04380197438839,0.06246377863091336,0.07679689511896595,0.05962129358150593,0.06256295882140424,0.021735651939434487,0.04874294651801994,0.07402542212630915,0.07652869458240276,0.07282843036672933,0.04771081234019896
graph_neighbor_avg_ff_ratio,0.07055151018825859,0.11556039112244264,0.11440487456450461,0.12394919114752914,0.010513868051883115,0.009193909525824617,0.010223170459134042,0.008370945235954644,0.03015054453906078,0.03047789613735343,0.008153413475251302,0.02515162168088541,0.029136962757604884,0.029125849331971525,0.029632117553887012,0.019826510375915877
graph_reciprocity_ratio,0.10602104109141974,0.13973977786635783,0.15268066220517298,0.13520176249322605,2.4067868263681593e-05,2.3564730858736927e-05,3.653913801274342e-05,1.6725163272851046e-05,0.003352695820384988,0.0031481285857741207,0.0007394913672986471,0.003042677090992976,0.006712792960671724,0.006724019691427276,0.00643277908090118,0.003789438195268123
graph_neighbor_avg_in_degree,0.04272378795104677,0.09207148423814876,0.1169834397194845,0.10101201030530504,0.009774942782360326,0.007789253368480111,0.009338908902764634,0.008433371417881082,0.02236010385025432,0.02206120106171547,0.005955563318597635,0.019485675784393974,0.027151023004444573,0.027266709460192703,0.02770721934798969,0.01843192902292296
avg_mentions,0.01905929485274752,0.018273118173359047,0.01742752788587197,0.019131324926475672,0.04128244022552895,0.043640254013742594,0.0649121587803595,0.04962904310805994,0.04444914929606449,0.04414711129546327,0.01680361310196075,0.03947892907311718,0.027454224028372897,0.02740835334423225,0.028018410451410892,0.018114741615562445
graph_neighbor_avg_degree_total,0.05062526203779714,0.08660965210523848,0.07867640528064417,0.07267571337281442,0.01086216039751357,0.010231951056128721,0.011039110396837144,0.008922203162813735,0.024832624533687654,0.025691146812292027,0.007037814156867137,0.021667358304192117,0.027551651221274277,0.02755375145341375,0.028116639066082517,0.01881013016919643
graph_ff_ratio,0.06916499739423736,0.10517554871395324,0.10761005946278018,0.10245911267004543,0.0003793023582728502,0.00018012892451880333,0.0005133587250151507,0.0003697266703112754,0.01654027336470214,0.017501159157844226,0.010357728268408351,0.015173575274474486,0.017474892251222417,0.017522791415901712,0.018250754390330425,0.011643225311391097
log1p_friends,0.01482276849840598,0.013666674445401794,0.014894878813363587,0.01731060247464004,0.028622335149572527,0.01663335308333578,0.029947488449315194,0.02368641407176835,0.03846803575405224,0.0383297292106015,0.011360594184918082,0.031135452899225743,0.051622989857425604,0.05023775532290068,0.05470648750312695,0.0312675729274513
avg_urls,0.022014383634229112,0.0229311102156823,0.026370822224703012,0.019700643691381955,0.02020098102631794,0.03611770429321516,0.024126633241546312,0.026584749816647647,0.048122880877573354,0.04731640030933836,0.021157895026511313,0.04562850743756468,0.02825865539773901,0.0282624236025271,0.028838026212151632,0.019026970458226777
graph_neighbor_std_degree_total,0.036363696577452635,0.056268946698286915,0.049901279507779416,0.06350982480121356,0.013606420647660804,0.01980148247622239,0.018557996690201264,0.014998647845803681,0.026181930045282957,0.025975277793944283,0.007046551921915183,0.023241999374725875,0.022908224701314383,0.022940079118717017,0.023386810764350483,0.015123653742332894
listed_per_day,0.003208625786916311,0.0058561882559514025,0.0061628374003076325,0.006467864734749295,0.024363260625921854,0.01644597090609303,0.02323192582157742,0.028022505289568112,0.056677491682560414,0.05189156786582074,0.027937098964832166,0.04227888183019488,0.03825831400540917,0.038202950881487556,0.03520253056096986,0.023751027502316373
log1p_listed,0.0034482574545345772,0.005622539067632746,0.007240349097762697,0.0060572433313003755,0.017453750801343135,0.010592972783214496,0.018671682361873623,0.015889054782617713,0.06621075024006526,0.06786152560622215,0.026688766578715804,0.046074156071028306,0.03823316553040334,0.03699195220838705,0.040423323729371026,0.020347057726027774
tweets_per_day,0.020695643825635733,0.01720700825165184,0.013345725439529277,0.019419091809749607,0.02983365109393805,0.02411390746887898,0.03737639762799391,0.028860279451042584,0.03723362820892901,0.03782019816689845,0.009377813876836737,0.02925539471492542,0.031072115235105346,0.031093758092043088,0.031505667553652195,0.01956081278897185
friends_per_day,0.0062175572593452305,0.008124866595652614,0.010453350898970086,0.011418675551009685,0.015944018568448643,0.010978844225798898,0.018467108204701436,0.017577491609503317,0.03833056969661112,0.03928808277210927,0.011727429804314177,0.03124740558152342,0.04369924147376535,0.04408686543566457,0.04308834946516461,0.02815115448691844
avg_text_length,0.005156797314493791,0.005767222423665182,0.003830932311430308,0.005714580647403881,0.00891267728472372,0.00808957268225019,0.010844962698959317,0.007443109790950824,0.046442553106958516,0.046702289489288416,0.019856400657368843,0.045005521838251426,0.037099725536475704,0.03737560069658118,0.03787961791648739,0.025595569917071383
log1p_tweet_count,0.018311121803000586,0.0226354779674505,0.021883126381578702,0.022093752721477077,0.0320667907531233,0.02165062055851663,0.03669303928770801,0.018662275984192116,0.01620500768595213,0.016433163353071316,0.0040358232081549525,0.01458460952932152,0.02753263670860076,0.0277033650330185,0.0293707402610389,0.01756670177643589
