,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
verified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2815625456169741,-1.1865090237002751,0.0,0.0,-10.407192868267567,-11.499991504385036
graph_pagerank,0.8729574202944868,2.2324440286262224,2.2814249269679516,2.181754914618143,1.402203411166859,0.4753819453124905,1.5602270039543922,1.5129775256875388,0.012842975844354065,0.014753719298316469,-0.143973686753647,0.03638541137911904,0.013292184008088556,0.00663457032627235,0.006018259840333408,0.012555406933133392
graph_neighbor_avg_ff_ratio,1.7858514007787858,1.8055412538807278,1.8589222978959636,1.9192151677643776,0.16504038049990472,0.3087827301459684,0.44934550620444014,0.44217255340106937,0.006114748175290684,0.0031930697091100864,0.053560104178623814,0.044350010732724605,0.005832431953189383,0.005885297018375507,0.005958732598877467,0.005301914733501264
log1p_statuses,1.035020604467907,1.1157382969120362,1.1206093792258522,0.9063049614176079,-0.764355364985363,-0.7687789276277815,-0.781479542354718,-0.7821844462862441,0.023316115759512365,0.02315047420035755,-0.14735568304913743,-0.0972406862315381,-0.11408206985223014,-0.11367807203057671,-0.1152981584333414,-0.10684060889882677
graph_in_degree,2.30833202235049,0.13055034725568335,0.144897601343269,0.06866952926259784,1.0854944739447023,1.809262067997188,0.9249973765602002,0.9037774064184961,0.05246502749169364,0.05013302266815985,-0.00959592869722151,0.020913955310498642,-0.06112392606465381,-0.06292838873817724,-0.07090961307923047,-0.09141021761793426
followers_per_day,-2.045654103863038,-1.3352966561676585,-1.3917904718509055,-1.2461526960123774,0.008226116466922864,-0.34188857160240965,0.012603700320632846,0.012272400386053723,-0.017302663826917076,-0.016528367654012163,-0.15540915313044174,-0.2279722193495015,0.0015103548810695754,0.0018880270078112382,0.13528512998118286,0.08387272996257368
graph_reciprocity_ratio,1.740309754532994,1.5437506602996895,1.5146730727681939,1.6094314592069738,0.04085077676377053,0.15582298661935728,0.03349588400168924,0.07559176910278825,0.025494839999055493,0.025530280601192105,-0.018642298618828747,0.01877865398447264,-0.02652687457211397,-0.02729894745375328,-0.02797176278685699,-0.03009031831820097
graph_out_degree,-1.34311889378437,-1.2658808903101513,-1.3199087885726117,-1.120167823079453,-0.10117232200654655,-0.08955225649347054,-0.06623221274621695,-0.059320002387755574,-0.05009892251690464,-0.04972606467296806,-0.05192120430320368,-0.05105340259109493,0.010917179999992956,0.009736002999513388,0.01588636681938139,0.025392043812518753
has_tweet_data,-0.0407296683576293,-0.024153356772284088,-0.032232904194954295,-0.020151590084416904,0.9707428377869132,1.4133110195693814,1.3509476563068232,1.4708575645394133,0.03776636238853343,0.03788918818800312,0.05286265438038424,0.04991014069714611,-0.019764257911307086,-0.018298405395451054,-0.017082117218099588,-0.03173835778588354
friends_per_day,0.8642967465976896,0.9389293695938762,0.9959310550604108,0.86915642424102,0.002165569954198094,-0.47463608187386214,0.0062799604628565224,0.006270950687000774,0.003627952899424446,0.003544456048266721,-0.09561081807470663,-0.039021451496005576,0.06202180152188324,0.06205089946710992,0.08500017810738816,0.17233599121112478
log1p_listed,-0.26003335333351835,-0.24642486904069189,-0.2206262131291961,-0.25971014014655003,0.4911802765277411,0.5544941959151973,0.5110753207271013,0.5142096018825836,-0.2527402184426032,-0.2545320817950198,0.10901618329564379,0.11487346672181112,-0.11684686492380096,-0.11681811350793522,-0.0986694580403413,-0.08836529098464439
